PidLidAutoStartCheck,0x00008244,PtypBoolean,0x000b,PSETID_Appointment,00062002-0000-0000-C000-000000000046
PidLidAutoStartWhen,0x00008245,PtypInteger32,0x0003,PSETID_Appointment,00062002-0000-0000-C000-000000000046
PidLidBilling,0x00008535,PtypString,0x001f,PSETID_Common,00062008-0000-0000-C000-000000000046
PidLidBirthdayEventEntryId,0x0000804d,PtypBinary,0x0102,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidBirthdayLocal,0x000080de,PtypTime,0x0040,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidBusinessCardCardPicture,0x00008041,PtypBinary,0x0102,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidBusinessCardDisplayDefinition,0x00008040,PtypBinary,0x0102,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidBusyStatus,0x00008205,PtypInteger32,0x0003,PSETID_Appointment,00062002-0000-0000-C000-000000000046
PidLidCalendarType,0x0000001c,PtypInteger32,0x0003,PSETID_Meeting,6ED8DA90-450B-101B-98DA-00AA003F1305
PidLidCategories,0x00009000,PtypMultipleString,0x101f,PS_PUBLIC_STRINGS,00020329-0000-0000-C000-000000000046
PidLidCcAttendeesString,0x0000823c,PtypString,0x001f,PSETID_Appointment,00062002-0000-0000-C000-000000000046
PidLidChangeHighlight,0x00008204,PtypInteger32,0x0003,PSETID_Appointment,00062002-0000-0000-C000-000000000046
PidLidClassification,0x000085b6,PtypString,0x001f,PSETID_Common,00062008-0000-0000-C000-000000000046
PidLidClassificationDescription,0x000085b7,PtypString,0x001f,PSETID_Common,00062008-0000-0000-C000-000000000046
PidLidClassificationGuid,0x000085b8,PtypString,0x001f,PSETID_Common,00062008-0000-0000-C000-000000000046
PidLidClassificationKeep,0x000085ba,PtypBoolean,0x000b,PSETID_Common,00062008-0000-0000-C000-000000000046
PidLidClassified,0x000085b5,PtypBoolean,0x000b,PSETID_Common,00062008-0000-0000-C000-000000000046
PidLidCleanGlobalObjectId,0x00000023,PtypBinary,0x0102,PSETID_Meeting,6ED8DA90-450B-101B-98DA-00AA003F1305
PidLidClientIntent,0x00000015,PtypInteger32,0x0003,PSETID_CalendarAssistant,11000E07-B51B-40D6-AF21-CAA85EDAB1D0
PidLidClipEnd,0x00008236,PtypTime,0x0040,PSETID_Appointment,00062002-0000-0000-C000-000000000046
PidLidClipStart,0x00008235,PtypTime,0x0040,PSETID_Appointment,00062002-0000-0000-C000-000000000046
PidLidCollaborateDoc,0x00008247,PtypString,0x001f,PSETID_Appointment,00062002-0000-0000-C000-000000000046
PidLidCommonEnd,0x00008517,PtypTime,0x0040,PSETID_Common,00062008-0000-0000-C000-000000000046
PidLidCommonStart,0x00008516,PtypTime,0x0040,PSETID_Common,00062008-0000-0000-C000-000000000046
PidLidCompanies,0x00008539,PtypMultipleString,0x101f,PSETID_Common,00062008-0000-0000-C000-000000000046
PidLidConferencingCheck,0x00008240,PtypBoolean,0x000b,PSETID_Appointment,00062002-0000-0000-C000-000000000046
PidLidConferencingType,0x00008241,PtypInteger32,0x0003,PSETID_Appointment,00062002-0000-0000-C000-000000000046
PidLidContactCharacterSet,0x00008023,PtypInteger32,0x0003,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidContactItemData,0x00008007,PtypMultipleInteger32,0x1003,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidContactItemData2,0x0000800B,PtypMultipleInteger32,0x1003,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidContactLinkedGlobalAddressListEntryId,0x000080e2,PtypBinary,0x0102,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidContactLinkEntry,0x00008585,PtypBinary,0x0102,PSETID_Common,00062008-0000-0000-C000-000000000046
PidLidContactLinkGlobalAddressListLinkId,0x000080e8,PtypGuid,0x0048,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidContactLinkGlobalAddressListLinkState,0x000080e6,PtypInteger32,0x0003,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidContactLinkLinkRejectHistory,0x000080e5,PtypMultipleBinary,0x1102,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidContactLinkName,0x00008586,PtypString,0x001f,PSETID_Common,00062008-0000-0000-C000-000000000046
PidLidContactLinkSearchKey,0x00008584,PtypBinary,0x0102,PSETID_Common,00062008-0000-0000-C000-000000000046
PidLidContactLinkSMTPAddressCache,0x000080e3,PtypMultipleString,0x101f,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidContacts,0x0000853a,PtypMultipleString,0x101f,PSETID_Common,00062008-0000-0000-C000-000000000046
PidLidContactUserField1,0x0000804f,PtypString,0x001f,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidContactUserField2,0x00008050,PtypString,0x001f,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidContactUserField3,0x00008051,PtypString,0x001f,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidContactUserField4,0x00008052,PtypString,0x001f,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidConversationActionLastAppliedTime,0x000085ca,PtypTime,0x0040,PSETID_Common,00062008-0000-0000-C000-000000000046
PidLidConversationActionMaxDeliveryTime,0x000085c8,PtypTime,0x0040,PSETID_Common,00062008-0000-0000-C000-000000000046
PidLidConversationActionMoveFolderEid,0x000085c6,PtypBinary,0x0102,PSETID_Common,00062008-0000-0000-C000-000000000046
PidLidConversationActionMoveStoreEid,0x000085c7,PtypBinary,0x0102,PSETID_Common,00062008-0000-0000-C000-000000000046
PidLidConversationActionVersion,0x000085cb,PtypInteger32,0x0003,PSETID_Common,00062008-0000-0000-C000-000000000046
PidLidConversationProcessed,0x000085c9,PtypInteger32,0x0003,PSETID_Common,00062008-0000-0000-C000-000000000046
PidLidCurrentVersion,0x00008552,PtypInteger32,0x0003,PSETID_Common,00062008-0000-0000-C000-000000000046
